stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
CV4-L2_B1_4_B1_5-int-dur-rate,4.36690521295835,5.510038069746192,1.8538179459736615,1.2026023658506233,1.5402967182100018,1.8609067124778778
CV4-L2_B1_4_L1_4-int,5.536201430178643,5.798940807044092,1.5458148530613123,0.9973058517803954,1.17390080939857,1.146457516812683
CV4-L2_B1_4_L1_4-int-dur,5.536201430178642,5.771967995189236,1.5679209381672328,0.931948673235507,1.2383594652475722,1.1989889928973696
CV4-L2_B1_4_L1_4-int-rate,6.273062730627307,5.872993261034539,1.8578410785522765,0.9973058517803955,1.1739008093985703,1.1464575168126832
CV4-L2_B1_4_L1_4-int-dur-rate,6.273062730627307,5.838781204700189,1.1389822091872728,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_4_L1_4-dur,5.536201430178642,5.776564765528801,1.3475803639545396,0.931948673235507,1.2383594652475722,1.1989889928973696
CV4-L2_B1_4_L1_4-dur-rate,6.273062730627307,5.860757894533476,1.265785655588109,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_4_L1_4-rate,6.273062730627307,5.885342612481531,1.5817746264365113,0.9973058517803955,1.1739008093985703,1.1464575168126832
CV4-L2_C1_4_C1_5-int-dur-rate,5.689239428183369,5.617455709186865,1.50745891264676,1.033367791614026,1.433823889577307,1.4882591680152126
CV4-L2_C1_4_L1_4-int,5.115436665571745,5.411465500424296,1.4644602305084684,1.2030498769177131,1.4322346799827375,1.6048060911965514
CV4-L2_C1_4_L1_4-int-dur,5.115436665571745,5.388456149566892,1.4324347424371138,0.9319486732355043,1.2383594652475731,1.1989889928973696
CV4-L2_C1_4_L1_4-int-rate,6.273062730627307,5.529906828740775,1.6421166608423343,1.2030498769177131,1.432234679982738,1.604806091196552
CV4-L2_C1_4_L1_4-int-dur-rate,6.273062730627307,5.502406127914612,1.5333456392151648,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_4_L1_4-dur,5.115436665571745,5.384148414518354,1.5220520177999783,0.9319486732355043,1.2383594652475731,1.1989889928973696
CV4-L2_C1_4_L1_4-dur-rate,6.273062730627307,5.562743248870319,1.586677893005714,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_4_L1_4-rate,6.273062730627307,5.558289156828324,1.5720131452259678,1.2030498769177131,1.432234679982738,1.604806091196552
CV4-L2_B1_5_B1_4-int-dur-rate,5.536201430178643,6.220076112365419,1.7258483275968177,0.9973058517803954,1.17390080939857,1.146457516812683
CV4-L2_B1_5_L1_4-int,4.36690521295835,6.095423449902008,1.5717298053315636,1.2026023658506233,1.5402967182100018,1.8609067124778778
CV4-L2_B1_5_L1_4-int-dur,4.3669052129583505,6.027906463712892,1.8022798485132479,0.9319486732355057,1.2383594652475722,1.198988992897369
CV4-L2_B1_5_L1_4-int-rate,6.273062730627307,6.426935150420748,2.1475348679796604,1.2026023658506235,1.5402967182100027,1.8609067124778786
CV4-L2_B1_5_L1_4-int-dur-rate,6.273062730627307,6.354985564621907,1.4511960801169266,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_5_L1_4-dur,4.3669052129583505,5.977822738900337,1.6294513484912017,0.9319486732355057,1.2383594652475722,1.198988992897369
CV4-L2_B1_5_L1_4-dur-rate,6.273062730627307,6.242798316990259,1.7489227280481168,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_B1_5_L1_4-rate,6.273062730627307,6.309284606987573,2.4140993084736198,1.2026023658506235,1.5402967182100027,1.8609067124778786
CV4-L2_C1_5_C1_4-int-dur-rate,5.115436665571745,5.322538190441984,1.6960003593921662,1.2030498769177131,1.4322346799827375,1.6048060911965514
CV4-L2_C1_5_L1_4-int,5.689239428183369,5.4866326502414005,1.5471780328629547,1.033367791614026,1.433823889577307,1.4882591680152126
CV4-L2_C1_5_L1_4-int-dur,5.689239428183369,5.479986034576898,1.5158483540217558,0.9319486732355051,1.238359465247573,1.1989889928973696
CV4-L2_C1_5_L1_4-int-rate,6.273062730627307,5.527277917279664,1.3445157557800131,1.0333677916140258,1.4338238895773072,1.4882591680152129
CV4-L2_C1_5_L1_4-int-dur-rate,6.273062730627307,5.519386203924124,1.2864459577215723,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_5_L1_4-dur,5.689239428183369,5.468689666044552,1.5751030440900329,0.9319486732355051,1.238359465247573,1.1989889928973696
CV4-L2_C1_5_L1_4-dur-rate,6.273062730627307,5.593957617537911,1.5244543556028496,0.9319486732355058,1.2383594652475725,1.1989889928973692
CV4-L2_C1_5_L1_4-rate,6.273062730627307,5.601758413717324,1.5501519421320769,1.0333677916140258,1.4338238895773072,1.4882591680152129
CVC1-L2_B1_4_B1_5-int-dur-rate,3.347167636590528,6.428220980617585,1.6375542380092818,1.479335857997757,1.6599386313014097,1.6586822817190023
CVC1-L2_B1_4_L1_4-int,3.7432129755466685,6.597453445279567,1.4945726729976652,1.086866595588951,1.2094922773666248,1.1199099672603041
CVC1-L2_B1_4_L1_4-int-dur,3.7432129755466685,6.504235932160745,1.6934107833468026,1.093215182411349,1.680304337187602,1.6521132922223942
CVC1-L2_B1_4_L1_4-int-rate,4.846022249068687,6.781884666745998,1.5555461176382632,1.086866595588951,1.2094922773666248,1.1199099672603037
CVC1-L2_B1_4_L1_4-int-dur-rate,4.846022249068687,6.77674930986351,1.3037929994759763,1.0932151824113485,1.6803043371876016,1.6521132922223933
